"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20091101,"NO","BOS",53,21,28,13,8,6,16,5,28,61,35,15,6,14,9,16,4,32,20,22,38,47,69,72,87,97,87,97
20091101,"ORL","TOR",50,19,32,17,41,36,9,14,23,57,30,17,10,35,26,14,9,29,36,28,64,53,99,89,125,116,125,116
20091101,"POR","OKC",48,20,21,8,25,19,14,10,30,56,21,14,3,32,23,19,14,25,25,15,39,37,60,56,83,74,83,74
20091102,"HOU","UTA",65,32,19,10,26,19,14,15,31,60,29,11,3,34,29,19,8,30,26,28,54,57,79,76,113,96,113,96
20091102,"MEM","SAC",90,40,9,5,27,21,21,20,37,68,31,25,14,36,23,13,10,30,33,26,54,56,80,79,110,110,116,127
20091102,"MIN","LAC",82,35,6,2,16,14,12,14,26,57,28,18,4,32,25,20,15,33,28,30,48,57,70,71,90,93,90,93
20091102,"NJ","CHA",57,22,10,3,18,15,26,8,25,59,23,15,1,35,30,21,19,32,14,10,41,33,48,53,68,79,68,79
20091102,"NO","NY",60,32,26,10,19,17,11,7,33,70,36,23,7,28,24,9,12,32,24,31,52,58,81,77,111,117,111,117
20091103,"ATL","POR",65,32,15,5,22,18,12,11,35,64,30,21,6,16,13,10,10,26,15,25,47,48,72,69,97,91,97,91
20091103,"BOS","PHI",52,27,20,14,14,9,18,7,32,64,28,16,1,22,15,17,11,23,19,17,44,36,69,54,105,74,105,74
20091103,"DEN","IND",67,27,15,8,41,33,18,16,40,69,33,22,3,24,18,14,13,31,30,13,55,39,83,71,111,93,111,93
