"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"390"	63.7142857142857	31.3571428571429	20.9285714285714	7	20.2857142857143	16.3571428571429	13.2857142857143	11.6428571428571	33.9285714285714	67.5	34.2857142857143	11.9285714285714	4.42857142857143	27.7857142857143	20.9285714285714	14.9285714285714	12.6428571428571	30	"H"
"391"	60.5294117647059	28.5294117647059	18.2941176470588	7.52941176470588	22.7058823529412	18.5294117647059	14.3529411764706	9.88235294117647	31.9411764705882	56.6153846153846	27.8461538461538	19.2307692307692	7.38461538461539	22.6153846153846	18.4615384615385	13.5384615384615	10.9230769230769	29.4615384615385	"H"
"392"	66	31.2666666666667	18.2666666666667	6.13333333333333	20.3333333333333	16.8	16.4666666666667	12.6	30.4	61.6	30.2666666666667	14.8	5.4	24.1333333333333	18.7333333333333	14.6	9.26666666666667	28.7333333333333	"H"
"393"	66.5714285714286	29.8571428571429	16.0714285714286	5.5	24.5	19.6428571428571	14.7142857142857	12.2857142857143	29.8571428571429	57.4166666666667	27.25	28.6666666666667	11.0833333333333	24.4166666666667	19.5	16.8333333333333	11.9166666666667	33.3333333333333	"A"
"394"	72.5	32.9285714285714	10.2142857142857	3.71428571428571	23.8571428571429	18	14.7142857142857	11	29	66	31.9230769230769	13.6923076923077	5.15384615384615	25.1538461538462	19.3076923076923	13.5384615384615	10.4615384615385	29.0769230769231	"H"
"395"	68.4615384615385	31.5384615384615	13	3.46153846153846	23.5384615384615	17.9230769230769	16.2307692307692	12.3846153846154	30.8461538461538	60.2857142857143	29.8571428571429	18.6428571428571	7.21428571428571	32.5	24	14.7857142857143	9.64285714285714	31.2857142857143	"H"
"396"	63.2666666666667	28.4	16.6	6.13333333333333	22.2	17.8666666666667	14	8.53333333333333	30.6	68.1428571428571	32.4285714285714	17.0714285714286	5.28571428571429	24.9285714285714	19.2142857142857	14.7142857142857	12	30.8571428571429	"A"
"397"	66.5625	30.125	16.6875	6.25	20.0625	16.4375	17	11.5	29.3125	54.3571428571429	27.8571428571429	22.4285714285714	7.85714285714286	23.7857142857143	17.8571428571429	14.5	11	30.2857142857143	"H"
"398"	62.6153846153846	29.5384615384615	15.2307692307692	5.76923076923077	22.8461538461538	17.3846153846154	12.3076923076923	10.1538461538462	29.8461538461538	69.3333333333333	32.8333333333333	14.0833333333333	4.41666666666667	26.5	20.6666666666667	14	12.5	31.9166666666667	"A"
"399"	65.1538461538462	30.5384615384615	13.3076923076923	4.15384615384615	25.0769230769231	18.6923076923077	14.5384615384615	10.6153846153846	27.6923076923077	56.625	28.0625	21.0625	8.4375	21.5625	15.375	12.25	9.5	32.125	"H"
"400"	60.0769230769231	28.9230769230769	21.3076923076923	8.15384615384615	26.9230769230769	21.4615384615385	13.2307692307692	10.4615384615385	29.9230769230769	59.2222222222222	27.2777777777778	14.4444444444444	4.88888888888889	27.3888888888889	20.3888888888889	16.1111111111111	10.5555555555556	28.5555555555556	"A"
"401"	72.5333333333333	33.0666666666667	10.1333333333333	3.6	23.5333333333333	17.6	14.7333333333333	11	29.4	64.4666666666667	31	16.4	5.06666666666667	25.8	19.8666666666667	14.2666666666667	12.2666666666667	28.9333333333333	"H"
"402"	54.3846153846154	26.3076923076923	25.6923076923077	9.69230769230769	25.3076923076923	18.4615384615385	13.6153846153846	9.53846153846154	32.6923076923077	70.6153846153846	32.1538461538462	13.6153846153846	3.69230769230769	24.6153846153846	17.5384615384615	13.2307692307692	11.9230769230769	28.5384615384615	"A"
"403"	62.9375	28.75	16.25	6	23.0625	18.4375	14.125	8.75	30.375	61.6153846153846	31.2307692307692	19.4615384615385	7	27.0769230769231	21.1538461538462	12.6923076923077	14.9230769230769	29.7692307692308	"H"
"404"	64.5625	31.8125	13.625	4.25	26.6875	20.75	18.0625	11.5625	29.1875	59.6666666666667	26.9166666666667	19.9166666666667	7.16666666666667	28.25	23.0833333333333	13.1666666666667	11.5	33	"H"
"405"	60.0769230769231	30.3076923076923	15.8461538461538	5.84615384615385	26.7692307692308	19.8461538461538	17.7692307692308	10.5384615384615	32.0769230769231	67.6	32.1333333333333	17.2666666666667	5.46666666666667	25	19.3333333333333	14.5333333333333	12.2666666666667	30	"A"
"406"	63.2666666666667	31	21.1333333333333	7	20.0666666666667	16.2666666666667	13.4	11.6666666666667	33.4666666666667	65.5714285714286	29.1428571428571	17.7857142857143	5.42857142857143	23	16.2857142857143	14.4285714285714	12.1428571428571	28.7857142857143	"A"
"407"	61.2	29.8666666666667	16.6666666666667	5.93333333333333	27.6666666666667	21.6	16.8666666666667	10.9333333333333	30.1333333333333	57.6153846153846	27	28.7692307692308	11.0769230769231	25.1538461538462	20	16.7692307692308	12.3846153846154	33.0769230769231	"A"
"408"	69.4736842105263	31.8421052631579	18.5789473684211	6.31578947368421	26.3157894736842	19.4736842105263	15.5789473684211	13.0526315789474	30.1052631578947	67.9375	34.5625	18.0625	6.5	25.8125	19.5	14.125	12.875	33.75	"H"
"409"	62.1538461538462	29.9230769230769	21.0769230769231	6.76923076923077	22.0769230769231	17.2307692307692	12.0769230769231	12.0769230769231	27.4615384615385	58	31.8	21.1333333333333	7.13333333333333	25.1333333333333	20.0666666666667	12.9333333333333	10.8	31.0666666666667	"H"
"410"	57.9166666666667	26	19.25	7.91666666666667	22.3333333333333	17.75	13.25	8.91666666666667	28.75	68.3846153846154	32.8461538461538	21	7.61538461538461	23.7692307692308	18.5384615384615	15.4615384615385	12.0769230769231	35.3846153846154	"A"
"411"	66.1176470588235	30.1764705882353	16.8823529411765	6.58823529411765	20.4117647058824	16.5882352941176	16.6470588235294	11.2941176470588	28.7647058823529	61.1875	27.625	19.75	7.3125	26.4375	20.625	13.4375	12.5625	29	"A"
"412"	61.4375	30.4375	16.5	5.9375	27.8125	21.5625	16.75	10.9375	30.5625	55.3333333333333	28.6666666666667	22.2	7.93333333333333	23.9333333333333	18.1333333333333	14.0666666666667	11.1333333333333	29.9333333333333	"H"
"413"	65.7857142857143	30.9285714285714	13.3571428571429	4.21428571428571	24.9285714285714	18.5	14.6428571428571	10.7142857142857	28.4285714285714	70.7142857142857	31.7857142857143	13.5714285714286	4	24.8571428571429	17.4285714285714	13.5	12.1428571428571	28.2857142857143	"H"
"414"	54.5	26.6428571428571	25.5714285714286	9.85714285714286	25.2857142857143	18.5714285714286	13.7142857142857	9.42857142857143	32.7857142857143	66.7857142857143	32.2857142857143	13.4285714285714	4.92857142857143	24.2142857142857	18.6428571428571	13.4285714285714	10.4285714285714	29.2142857142857	"H"
"415"	68.3571428571429	31.7142857142857	12.9285714285714	3.57142857142857	24	17.9285714285714	16.2142857142857	12.0714285714286	30.5	67.6	34.2666666666667	11.8666666666667	4.26666666666667	27.7333333333333	21.0666666666667	14.8666666666667	12.6	29.9333333333333	"H"
"416"	56.6153846153846	30.3846153846154	17.6923076923077	7	27.8461538461538	21.0769230769231	15.8461538461538	7.61538461538461	29	71	30.5333333333333	10.6	4	24.4666666666667	18.0666666666667	17	12.6666666666667	31.0666666666667	"A"
"417"	62.7058823529412	28.7058823529412	16.4117647058824	6.05882352941176	22.4117647058824	18.0588235294118	14.0588235294118	8.94117647058824	30	68.8333333333333	33.5833333333333	17.4166666666667	5.08333333333333	33.9166666666667	26.5	14.1666666666667	13.75	29.5833333333333	"H"
"418"	63.3333333333333	29.3333333333333	19.5833333333333	6.58333333333333	20.0833333333333	14.6666666666667	13.0833333333333	10.75	27.9166666666667	60.3846153846154	26.8461538461538	20.5384615384615	7.53846153846154	29	23.7692307692308	13.6153846153846	11.7692307692308	33.6153846153846	"A"
"419"	57.7857142857143	26	21.5	8.64285714285714	23.9285714285714	17.6428571428571	12.7142857142857	10.9285714285714	30	68.2142857142857	32.6428571428571	20.3571428571429	7.71428571428571	23.6428571428571	18.3571428571429	15.5714285714286	11.7857142857143	35.5714285714286	"A"
"420"	60.1428571428571	30.6428571428571	16	5.85714285714286	26.7857142857143	19.8571428571429	17.5	10.5714285714286	32.7857142857143	61.2142857142857	31.3571428571429	19.7142857142857	7	26.5	20.7142857142857	12.3571428571429	14.7142857142857	29.6428571428571	"H"
"421"	59.9285714285714	30.2142857142857	19.3571428571429	6.71428571428571	24.0714285714286	18.0714285714286	12.9285714285714	11.4285714285714	30.8571428571429	60.0666666666667	28.9333333333333	19.0666666666667	7.06666666666667	24.4	16.8666666666667	13.6	10.4	30.7333333333333	"H"
"422"	69.7142857142857	32.7142857142857	16	5.07142857142857	22	17.1428571428571	15.7142857142857	12.3571428571429	31.4285714285714	66.5	31.0625	17.3125	5.375	25.125	19.4375	14.75	11.875	29.6875	"H"
"423"	66.8333333333333	30.2222222222222	15.5	5.44444444444444	25.1666666666667	19.3888888888889	16.5	13.3888888888889	29.8888888888889	57.3529411764706	28.4117647058824	21	8.35294117647059	21.5294117647059	15.4705882352941	12	9.23529411764706	32.0588235294118	"A"
"424"	65.4666666666667	29.5333333333333	16.6	6	25.3333333333333	20.4	14.6666666666667	11.7333333333333	30	63.6428571428571	31.2857142857143	19.6428571428571	6.42857142857143	23.3571428571429	18.5714285714286	14	12.0714285714286	33.5	"H"
"425"	56.8666666666667	27.6	30.4	10.2666666666667	19.8666666666667	16.0666666666667	14.4666666666667	9.46666666666667	31	59.4210526315789	27.5263157894737	14.5263157894737	4.94736842105263	27.4736842105263	20.4210526315789	16.2105263157895	10.6842105263158	28.5789473684211	"A"
"426"	57.0714285714286	30.7142857142857	17.9285714285714	7	27.5714285714286	20.9285714285714	15.7142857142857	8.07142857142857	28.5714285714286	61.8125	30.8125	14.6875	5.1875	25.125	19.0625	14.3125	9.4375	28.5625	"A"
"427"	63.6153846153846	29.7692307692308	18.9230769230769	6.15384615384615	20	14.7692307692308	12.8461538461538	10.3846153846154	28.5384615384615	56.8571428571429	28	18.8571428571429	7.07142857142857	22.7142857142857	18.5	13.5	10.9285714285714	29.9285714285714	"H"
"428"	61.4705882352941	30.4117647058824	16.4117647058824	5.88235294117647	27.5294117647059	21.2352941176471	16.1764705882353	10.8235294117647	29.8235294117647	60.8461538461538	29.2307692307692	17.1538461538462	6.61538461538461	23.8461538461538	20.6153846153846	12.4615384615385	8.53846153846154	30.2307692307692	"A"
"429"	69.15	31.8	18.55	6.45	26.65	19.7	15.65	12.85	29.8	70.125	30.6875	10.875	4.0625	24.875	18.25	16.875	12.3125	30.875	"H"
"430"	66.8947368421053	30.5263157894737	15.3157894736842	5.42105263157895	24.6842105263158	19.0526315789474	16.2105263157895	13.2105263157895	30.0526315789474	60.2857142857143	26.7142857142857	20.5714285714286	7.5	28.2857142857143	23.2142857142857	13.5	11.5	33.4285714285714	"H"
"431"	59.7142857142857	28.8571428571429	21.4285714285714	8.28571428571429	27.3571428571429	21.9285714285714	13.2142857142857	10.2142857142857	29.8571428571429	66.6666666666667	31.9333333333333	13.2666666666667	4.93333333333333	24.5333333333333	18.6666666666667	12.8	10.4666666666667	29.4	"H"
"432"	54.2	26.2	25.6666666666667	9.93333333333333	24.5333333333333	17.9333333333333	13.4	9.4	32.4	70.1538461538462	32.6153846153846	15.3846153846154	5.84615384615385	28.2307692307692	22	13.5384615384615	12.5384615384615	32	"A"
"433"	68.4	32.0666666666667	12.6666666666667	3.4	24.0666666666667	17.9333333333333	16.1333333333333	12.0666666666667	30.2	65.7333333333333	29.1333333333333	17.3333333333333	5.13333333333333	23.0666666666667	16.2	13.9333333333333	12	28.7333333333333	"A"
"434"	57.8666666666667	26.4	21.6	8.46666666666667	24.8	18.3333333333333	12.5333333333333	11	30.4	61.1764705882353	27.7058823529412	19.7058823529412	7.05882352941176	26.4117647058824	20.5882352941176	13.2352941176471	12.2941176470588	29.2352941176471	"H"
"435"	63.5833333333333	29.8333333333333	14.75	5.83333333333333	21.9166666666667	16	13.5	10.5833333333333	28.0833333333333	69.1538461538462	32.0769230769231	13.9230769230769	4.15384615384615	27	21.1538461538462	13.7692307692308	12.6923076923077	31.6923076923077	"H"
"436"	65.5555555555556	30	17.2777777777778	6.83333333333333	20.3333333333333	16.3888888888889	16.2777777777778	11.0555555555556	29.1666666666667	57.875	31.3125	21.0625	7.125	25.75	20.3125	13.1875	10.875	31.25	"H"
"437"	61.6111111111111	30.6111111111111	16.5	6	27.5555555555556	21.2777777777778	15.8333333333333	10.8333333333333	29.8333333333333	70.5294117647059	31.1176470588235	10.7058823529412	4	25	18.4705882352941	16.8235294117647	12.4117647058824	30.8823529411765	"A"
"438"	68.4761904761905	31.5238095238095	18.6666666666667	6.57142857142857	26.6190476190476	19.7619047619048	15.8571428571429	12.6666666666667	29.6190476190476	70.2666666666667	32.2	13.6666666666667	3.8	25.6666666666667	18.2	13.6666666666667	12.0666666666667	28.8	"H"
"439"	60.1111111111111	28.1111111111111	18.3333333333333	7.38888888888889	22.9444444444444	18.7222222222222	14.2777777777778	9.83333333333333	31.8333333333333	60.5714285714286	29.1428571428571	17.6428571428571	6.85714285714286	23.8571428571429	20.6428571428571	12.4285714285714	8.64285714285714	30.3571428571429	"H"
"440"	65.5	31.625	18.5	6.125	20.1875	16.5625	16.4375	12.5625	30.25	57.0714285714286	26.9285714285714	29.2142857142857	11.1428571428571	25.5714285714286	20.1428571428571	16.3571428571429	12.2857142857143	32.5	"A"
"441"	69.6666666666667	32.2	15.9333333333333	5.06666666666667	22.3333333333333	17.6666666666667	15.5333333333333	12.6	31.3333333333333	59.9333333333333	31.3333333333333	17.7333333333333	7.13333333333333	25.3333333333333	18.8	16.4666666666667	10.3333333333333	33.2666666666667	"H"
"442"	62.5	30.0714285714286	20.5714285714286	6.5	21.9285714285714	16.9285714285714	12.3571428571429	12	27.7857142857143	52.375	26.375	25.4375	9.5625	28.1875	19.5625	15.0625	10.4375	32.375	"H"
"443"	58.6153846153846	26.3846153846154	19.0769230769231	7.92307692307692	22.6153846153846	17.8461538461538	12.9230769230769	8.84615384615385	28.7692307692308	61	31.0666666666667	19.4	6.93333333333333	26.4	20.6	12.5333333333333	14.6	29.7333333333333	"A"
"444"	68.5625	32.3125	12.4375	3.25	24.5625	18.375	15.875	12	29.9375	63.4666666666667	31.2	19.9333333333333	6.66666666666667	23.4	18.4666666666667	13.6	12.4	32.9333333333333	"H"
"445"	61	28.8461538461538	20.1538461538462	8	18	14.5384615384615	12.3076923076923	7.76923076923077	32.3076923076923	61.7058823529412	30.4705882352941	14.7058823529412	5.11764705882353	25.7058823529412	19.5294117647059	14.2352941176471	9.23529411764706	28.5294117647059	"A"
"446"	60.4666666666667	30.4666666666667	16.9333333333333	5.46666666666667	21.0666666666667	16.8	17.0666666666667	8.4	27.6666666666667	66.125	31.8125	13.1875	4.8125	24.375	18.375	13.125	10.4375	29.5625	"H"
"447"	65.8823529411765	32.5294117647059	13.5882352941176	4.29411764705882	26.1764705882353	20.2352941176471	17.5294117647059	11.5294117647059	29.1764705882353	68	34.7058823529412	18.2941176470588	6.70588235294118	26.1764705882353	19.8823529411765	14.2352941176471	13.0588235294118	33.5882352941176	"H"
"448"	64.0714285714286	30.1428571428571	18.2142857142857	5.78571428571429	19.8571428571429	14.5714285714286	12.5714285714286	10.2857142857143	28.5	59.8333333333333	31.2777777777778	16.1666666666667	6	30.1111111111111	23.1111111111111	15.6666666666667	11	32.3333333333333	"H"
"449"	59.8421052631579	27.7368421052632	18.7894736842105	7.36842105263158	22.4736842105263	18.2631578947368	14.6842105263158	10	31.8947368421053	55.3125	28.5	22.25	8.1875	24	18.3125	14	11.375	29.875	"H"
"450"	66.2	30.3	15.45	5.45	24.15	18.65	16.25	12.8	30	59.25	27.6	15.1	5	27.05	20.05	16.35	10.7	28.8	"H"
"451"	65.5625	29.625	16.4375	6.1875	24.5625	19.8125	14.625	11.6875	30	69.8571428571429	32.2857142857143	15.3571428571429	5.85714285714286	27.9285714285714	21.8571428571429	13.5714285714286	12.1428571428571	31.9285714285714	"A"
"452"	59.6	28.6	21.1333333333333	7.93333333333333	26.9333333333333	21.5333333333333	13	10.2	29.6	59.9375	28.5625	19	7.3125	24.875	17.375	13.5625	10.375	30.8125	"H"
"453"	58.6428571428571	26.7142857142857	18.9285714285714	7.92857142857143	21.5	17	12.9285714285714	8.85714285714286	28.5	59.2666666666667	29.0666666666667	19.4666666666667	7.73333333333333	32	24	15.4	9.8	31.1333333333333	"H"
"454"	68.2941176470588	32.1764705882353	12.5294117647059	3.35294117647059	24.0588235294118	17.9411764705882	15.7647058823529	11.7647058823529	30	57.4444444444444	28.2777777777778	20.7222222222222	8.44444444444444	21.6111111111111	15.5	12	8.88888888888889	31.7222222222222	"H"
"455"	61	30.125	16.75	5.3125	21.875	17.8125	17.0625	9.0625	27.8125	68.0666666666667	32.4666666666667	20.4	7.66666666666667	24	18.6666666666667	15.2	11.7333333333333	35.2	"H"
"456"	59.6666666666667	30.2	15.8666666666667	5.66666666666667	27.0666666666667	20.4666666666667	17.2	10.2	32.2	57.5333333333333	27.1333333333333	28.8666666666667	10.9333333333333	25.6	20.0666666666667	16.6666666666667	12.2666666666667	32.6	"H"
"457"	58.6666666666667	29.6666666666667	20.0666666666667	7	24.1333333333333	18.0666666666667	12.9333333333333	11.2	30.4666666666667	65.75	31.6875	16.3125	4.9375	25.1875	19.3125	14.0625	12.8125	28.75	"H"
"458"	63.1875	30.6875	21.1875	7.125	20.125	16.4375	13.3125	11.8125	33.8125	61.8333333333333	30.3888888888889	14.6666666666667	4.94444444444444	25.4444444444444	19.3333333333333	14.3888888888889	9.44444444444444	28.3333333333333	"H"
"459"	62.6428571428571	29.6428571428571	15.2857142857143	5.57142857142857	22.6428571428571	17.2857142857143	12.4285714285714	10.5	30.4285714285714	65.4375	29.0625	17.375	5.0625	23.3125	16.6875	14.1875	12.3125	28.4375	"A"
"460"	54.375	26.5625	25.9375	10	24.3125	17.8125	13.3125	9.6875	32.5	61.4666666666667	29.6	17.0666666666667	6.66666666666667	23.4	19.9333333333333	12.5333333333333	8.86666666666667	30.2	"H"
"461"	57.1176470588235	26.1764705882353	21.2352941176471	8.82352941176471	20.9411764705882	16.1176470588235	13.1176470588235	11.9411764705882	26.5882352941176	68	34.7777777777778	18.2222222222222	6.5	27.0555555555556	20.5555555555556	14	13	33.6111111111111	"H"
"462"	68.0909090909091	31.5	18.7272727272727	6.59090909090909	26.9545454545455	20	15.8636363636364	12.5454545454545	29.5909090909091	67.375	34.25	12.25	4.5	27.4375	21	14.8125	12.5625	29.9375	"H"
"463"	65.2352941176471	31.4117647058824	18.7058823529412	6.29411764705882	20.5294117647059	16.8823529411765	16.5882352941176	12.3529411764706	30.5882352941176	59.125	29.125	19.1875	7.625	32.375	24.1875	15.1875	9.6875	30.75	"H"
"464"	60.1428571428571	28.7857142857143	20.2857142857143	7.85714285714286	18.2142857142857	14.7142857142857	12.4285714285714	7.57142857142857	32.2142857142857	59.5294117647059	28.1764705882353	19.2352941176471	7.41176470588235	25.7058823529412	18.1176470588235	13.4705882352941	10.3529411764706	31.0588235294118	"A"
"465"	60.9411764705882	29.8823529411765	17.2352941176471	5.82352941176471	22.2941176470588	18.1176470588235	16.8235294117647	9.05882352941176	27.7647058823529	61.2222222222222	27.3333333333333	20.2777777777778	7.44444444444444	25.6111111111111	19.9444444444444	13.6111111111111	12.4444444444444	29.6666666666667	"H"
"466"	62.9444444444444	28.8333333333333	16.9444444444444	6.27777777777778	22.5555555555556	18.1111111111111	14	9.55555555555556	29.9444444444444	68.3571428571429	31.7857142857143	14.2142857142857	4.42857142857143	27.1428571428571	21.2857142857143	13.7142857142857	12.6428571428571	31.7142857142857	"H"
"467"	59.375	29.9375	16.4375	5.6875	26.5625	20.3125	17	10.3125	32.25	58.9047619047619	27.5238095238095	15.2380952380952	5.09523809523809	27.3333333333333	20.4761904761905	16.3333333333333	10.4761904761905	28.6666666666667	"H"
"468"	59.65	27.75	18.9	7.45	22.35	18.2	14.7	10.1	31.6	69.8666666666667	33.0666666666667	12.2	3.93333333333333	25.4	18.6666666666667	15.9333333333333	14.2666666666667	31.0666666666667	"H"
"469"	69.5	32	16	5.125	22.875	17.9375	15.3125	12.875	31.0625	63.0625	31	20.0625	6.75	23.0625	18.3125	13.4375	12.125	32.875	"H"
"470"	65.8823529411765	29.7647058823529	16.5294117647059	6.11764705882353	24.7058823529412	20	14.7647058823529	12	30.2352941176471	62.1052631578947	30.4736842105263	14.6842105263158	5.05263157894737	25.0526315789474	19.2105263157895	14.1052631578947	9.57894736842105	28.4736842105263	"A"
"471"	58.2	26.9333333333333	19.1333333333333	7.86666666666667	21.6666666666667	17.1333333333333	13.3333333333333	8.8	28.3333333333333	66.8947368421053	34.2631578947368	18.3157894736842	6.57894736842105	27.3684210526316	20.8421052631579	14	12.6842105263158	33.6315789473684	"A"
"472"	57.3125	27.6875	29.8125	10.0625	19.625	15.9375	14.75	9.6875	30.9375	70.1666666666667	31.4444444444444	10.8333333333333	4.22222222222222	25.0555555555556	18.6666666666667	16.7777777777778	12.1111111111111	30.4444444444444	"H"
"473"	61.1111111111111	29.8888888888889	17.3333333333333	5.77777777777778	22.1111111111111	17.9444444444444	16.3333333333333	9.05555555555556	27.8333333333333	69.6666666666667	31.9333333333333	15.8	6	27.3333333333333	21.3333333333333	13.5333333333333	12.0666666666667	31.8	"H"
"474"	64.4	30.0666666666667	17.8	5.53333333333333	20.4	14.8666666666667	12.2666666666667	10.5333333333333	28	52.1764705882353	26.0588235294118	25.5294117647059	9.47058823529412	28.2941176470588	19.5882352941176	15.0588235294118	10.8235294117647	32.6470588235294	"H"
"475"	63.2307692307692	29.4615384615385	15	5.69230769230769	21.5384615384615	15.7692307692308	14.3846153846154	11	27.9230769230769	58.2352941176471	31.4117647058824	20.7058823529412	7.11764705882353	26.5882352941176	20.8823529411765	13.2941176470588	11.0588235294118	31.5882352941176	"H"
"476"	63.2666666666667	29.6666666666667	15.4	5.53333333333333	22.2	17	12.1333333333333	10.8	30.5333333333333	60.6875	30.6875	19.25	6.75	25.875	20.25	12.625	14.375	29.0625	"H"
"477"	59.7142857142857	27.8095238095238	18.9047619047619	7.33333333333333	22.8095238095238	18.4285714285714	14.7142857142857	10.4285714285714	31.2380952380952	59.5263157894737	31.1578947368421	16.3684210526316	6.31578947368421	29.4736842105263	22.6315789473684	15.7894736842105	11	32.5263157894737	"A"
"478"	65.5	31.3888888888889	19	6.5	21	17.2222222222222	16.1666666666667	12.0555555555556	30.5	60.0625	31.5	17.375	7.125	25.5625	18.6875	16.375	10.25	32.9375	"A"
"479"	63.2307692307692	30.5384615384615	17.6153846153846	7	28.9230769230769	22.3846153846154	14.0769230769231	11.5384615384615	30.9230769230769	67.5384615384615	33	17.9230769230769	5.61538461538461	33.8461538461538	26.6923076923077	14	13.1538461538462	29.6923076923077	"A"
"480"	66.1333333333333	31	13.3333333333333	4.2	25.2	18.7333333333333	14.6	10.6666666666667	28.6	60.7894736842105	27.1578947368421	20.2631578947368	7.57894736842105	26.1052631578947	19.9473684210526	13.7368421052632	12.5263157894737	30.1578947368421	"H"
"481"	62.5333333333333	30	20.2666666666667	6.26666666666667	21.1333333333333	16.4	12.3333333333333	11.6666666666667	28.2	59.2941176470588	29.7647058823529	19.4705882352941	7.76470588235294	32.5294117647059	24.2352941176471	15.1764705882353	9.58823529411765	31.3529411764706	"H"
"482"	58.5	27.375	18.8125	7.6875	22.625	18.125	13.25	8.6875	28.875	67.8235294117647	34.5882352941176	12.2941176470588	4.41176470588235	28.1176470588235	21.5294117647059	14.5294117647059	12.8235294117647	30.0588235294118	"H"
"483"	72.0625	33	10.25	3.6875	23.25	17.5	15.0625	11	29.5	70.75	32.5625	13.625	3.75	26.5	18.9375	13.75	12.375	29.0625	"H"
"484"	53.6470588235294	26.1764705882353	26.4117647058824	10.2941176470588	24.2941176470588	17.7647058823529	13.2352941176471	9.58823529411765	31.9411764705882	55.7647058823529	29.1176470588235	21.5294117647059	7.94117647058824	23.4117647058824	18	13.8823529411765	10.9411764705882	29.5882352941176	"A"
"485"	68.2222222222222	32.5555555555556	12.5	3.38888888888889	23.7777777777778	17.8333333333333	15.3888888888889	11.7222222222222	29.9444444444444	67.3333333333333	31.4666666666667	15	4.86666666666667	26.9333333333333	21.2	13.5333333333333	12.4666666666667	31.4	"A"
"486"	62.6842105263158	29.0526315789474	16.7894736842105	6.26315789473684	22.3684210526316	17.8421052631579	14.1052631578947	9.31578947368421	29.7894736842105	65.8823529411765	31.5882352941176	15.9411764705882	4.76470588235294	24.8235294117647	19	14.3529411764706	13.1764705882353	29	"A"
"487"	68.7647058823529	31.5882352941176	16.0588235294118	5.23529411764706	23.8823529411765	18.7058823529412	15.4705882352941	13	31.1176470588235	57.2105263157895	28.2105263157895	21	8.78947368421053	21.2105263157895	15.1578947368421	12.0526315789474	8.94736842105263	31.2105263157895	"H"
"488"	57.1176470588235	27.4705882352941	30.0588235294118	10.1176470588235	19.5882352941176	16.0588235294118	14.7647058823529	9.70588235294118	30.5882352941176	62.8235294117647	31.1176470588235	20.5294117647059	6.82352941176471	22.8235294117647	18.2352941176471	13.1764705882353	11.8823529411765	32.6470588235294	"H"
"489"	58	26.4375	21.5625	8.5	24.5	17.8125	12.8125	10.75	30.6875	52	25.7777777777778	25.5555555555556	9.5	27.8333333333333	19.4444444444444	15.0555555555556	10.7222222222222	33.0555555555556	"H"
"490"	59.7058823529412	30.1176470588235	16.8235294117647	5.70588235294118	26.7647058823529	20.4117647058824	17.0588235294118	10.7058823529412	31.9411764705882	58.3888888888889	31.7777777777778	20.3333333333333	7.11111111111111	26.1666666666667	20.5	13.5	10.9444444444444	31.6111111111111	"H"
"491"	62.9285714285714	29.2142857142857	15	5.5	21.7142857142857	16.0714285714286	14.5	10.8571428571429	27.6428571428571	69.5	33.375	12	3.875	26	18.6875	15.875	14.1875	30.875	"H"
"492"	62.8823529411765	30.4705882352941	21	7	19.9411764705882	16.2352941176471	13.2352941176471	11.7058823529412	33.2352941176471	60.4705882352941	31.4117647058824	17.5294117647059	7.11764705882353	26.3529411764706	19.2941176470588	16.5294117647059	10.7058823529412	32.8823529411765	"H"
"493"	63.375	29.9375	14.875	5.3125	21.8125	16.5	12.25	10.8125	30.4375	58.7222222222222	29.4444444444444	19.5555555555556	7.88888888888889	32.9444444444444	24.5555555555556	15.2222222222222	9.55555555555556	31.3888888888889	"A"
"494"	59.4090909090909	27.7272727272727	18.9090909090909	7.40909090909091	22.4545454545455	18.0454545454545	14.6818181818182	10.3181818181818	31.0909090909091	69.5263157894737	31.5789473684211	11.1052631578947	4.26315789473684	25.3684210526316	18.9473684210526	16.8947368421053	11.9473684210526	30.7894736842105	"A"
"495"	65.3684210526316	31.6315789473684	19.5789473684211	6.68421052631579	20.6842105263158	16.8947368421053	16.1578947368421	11.7894736842105	30.6315789473684	66.15	33.55	19.1	7.05	27.1	20.65	13.9	12.65	33.3	"H"
"496"	68.6111111111111	31.4444444444444	15.8888888888889	5.27777777777778	23.2222222222222	18.1111111111111	15.4444444444444	12.8888888888889	30.6666666666667	56	27.6666666666667	19.4666666666667	7.26666666666667	22.9333333333333	18.6666666666667	13.1333333333333	10.7333333333333	30.0666666666667	"H"
"497"	65.6875	31	13.4375	4.1875	25	18.5	14.8125	10.5	28.375	61.625	30.125	16.75	6.4375	23.4375	20.125	12.375	8.625	30.4375	"H"
"498"	62.5625	30.125	20	6.25	20.8125	16.3125	12.5	11.25	28.25	66.8823529411765	30.8823529411765	16.9411764705882	5.29411764705882	25.4705882352941	19.7058823529412	14.8235294117647	12.2352941176471	29.9411764705882	"A"
